Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time,Private_Time_Requirements,Guest_Frequency_Preference,Faculty,Attitude_towards_Roommate_Smoking,Ideal_Study_Environment_Description_encoded,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home_encoded,Desired_Room_Attributes_encoded,Study_Time_Preference,Conflict_Handling_Method_encoded,Communication_Preference_with_Roommate,Age_normalized,id
0.0,0.0,0.0,1.0,2.0,5,2,2,1,0,0,2,1,0,0.2786342473088685,66
3.0,0.0,0.0,1.0,0.0,1,2,0,0,3,0,1,3,0,-0.5052159429226737,69
0.0,3.0,1.0,2.0,1.0,5,2,2,0,3,0,2,1,0,-0.5052159429226737,71
1.0,1.0,0.0,1.0,2.0,1,2,2,0,0,0,1,1,0,0.2786342473088685,72
3.0,3.0,2.0,1.0,2.0,1,2,2,1,3,0,0,3,0,0.2786342473088685,73
1.0,1.0,3.0,1.0,2.0,5,2,2,0,0,2,1,2,0,-0.5052159429226737,74
3.0,3.0,2.0,1.0,2.0,1,1,0,0,3,0,2,3,0,-0.5052159429226737,75
2.0,2.0,3.0,1.0,2.0,1,1,0,0,3,0,0,1,2,1.0624844375404108,76
2.0,2.0,2.0,2.0,2.0,1,1,1,0,0,2,1,1,0,0.2786342473088685,77
3.0,1.0,1.0,1.0,2.0,5,2,2,0,3,2,0,3,0,0.2786342473088685,78
2.0,1.0,3.0,1.0,2.0,5,2,2,0,3,2,1,3,0,-1.289066133154216,79
1.0,1.0,3.0,1.0,2.0,5,1,2,0,3,2,1,1,0,-0.5052159429226737,80
1.0,1.0,2.0,1.0,1.0,5,2,2,0,3,0,2,0,0,0.2786342473088685,82
3.0,2.0,2.0,1.0,4.0,1,2,2,0,3,2,0,1,2,-0.5052159429226737,83
2.0,2.0,3.0,2.0,2.0,1,2,2,1,3,0,2,2,0,-0.5052159429226737,84
1.0,1.0,0.0,1.0,2.0,2,2,2,0,0,0,2,1,0,1.0624844375404108,85
2.0,1.0,2.0,1.0,1.0,2,2,2,0,3,2,2,1,0,0.2786342473088685,86
1.0,1.0,0.0,1.0,0.0,1,2,2,0,3,2,1,0,0,-0.5052159429226737,87
1.0,1.0,0.0,0.0,2.0,2,2,0,2,2,0,0,0,0,1.0624844375404108,88
3.0,1.0,2.0,1.0,2.0,1,1,2,0,3,0,1,2,0,0.2786342473088685,89
2.0,2.0,3.0,1.0,3.0,2,2,2,2,0,0,2,0,2,0.2786342473088685,90
0.0,1.0,2.0,2.0,2.0,1,0,2,0,3,2,2,2,0,0.2786342473088685,91
0.0,0.0,0.0,1.0,4.0,1,2,2,0,3,2,2,1,0,1.0624844375404108,92
3.0,3.0,2.0,1.0,2.0,1,1,2,0,3,1,0,2,0,-0.5052159429226737,93
2.0,2.0,0.0,2.0,1.0,1,2,0,0,3,0,2,1,0,-0.5052159429226737,94
2.0,2.0,2.0,1.0,1.0,1,0,0,0,0,0,2,3,0,-0.5052159429226737,95
2.0,2.0,2.0,1.0,2.0,2,2,2,0,3,0,2,3,2,1.0624844375404108,96
0.0,0.0,3.0,2.0,1.0,0,2,2,0,3,2,2,3,1,-0.5052159429226737,97
0.0,0.0,2.0,2.0,2.0,0,0,2,0,3,2,2,0,0,0.2786342473088685,98
0.0,0.0,0.0,1.0,2.0,3,0,2,0,3,2,2,1,0,-1.289066133154216,102
2.0,2.0,3.0,1.0,2.0,2,2,2,0,1,0,2,0,2,1.0624844375404108,103
