Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time_Preference,Private_Time_Requirements,Guest_Frequency_Preference,Faculty,Attitude_towards_Roommate_Smoking,Ideal_Study_Environment_Description,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home,Desired_Room_Attributes,Study_Time_Preference,Conflict_Handling_Method,Communication_Preference_with_Roommate,Age,id,cluster_label
Around midnight,Somewhat early,Morning,Some,Sometimes,Computer Science,Maybe,Very quiet,Ask before sharing,Clean and organized,Social & quiet,Total quiet,Avoid conflict,Face-to-face,19,36,0.0
Around midnight,As late as possible,Late night,Some,Often,Computer Science,No,Very quiet,Share freely,Cluttered,Social & quiet,No preference,Calm,Face-to-face,18,37,0.0
Around midnight,Somewhat early,Morning,Some,Sometimes,Computer Science,No,Background noise,Ask before sharing,Neat,Social & quiet,Background noise,Calm,Face-to-face,19,38,0.0
After midnight,Late,Late night,Significant,Sometimes,Computer Science,No,Very quiet,Ask before sharing,Neat,Study oriented,Total quiet,Avoid conflict,Face-to-face,23,39,
After midnight,Somewhat early,Late night,Some,Sometimes,Computer Science,Yes,Very quiet,Share freely,Neat,Social & quiet,No preference,Avoid conflict,Face-to-face,19,40,0.0
Around midnight,Somewhat early,Afternoon,Significant,Never,Computer Science,Yes,Very quiet,Ask before sharing,Clean and organized,Study oriented,No preference,Blunt,Face-to-face,19,41,0.0
After midnight,Somewhat early,Afternoon,Some,Sometimes,Computer Science,Maybe,Very quiet,Ask before sharing,Clean and organized,Social & quiet,Background noise,Calm,Face-to-face,18,42,0.0
Around midnight,Somewhat early,Morning,Some,Rarely,Medicine,No,Very quiet,Ask before sharing,Cluttered,Study oriented,Total quiet,Hint jokingly,Face-to-face,18,43,1.0
Around midnight,Somewhat early,Evening,Significant,Sometimes,Computer Science,No,Very quiet,Share freely,Neat,Social & quiet,Total quiet,Blunt,Text or messaging apps,18,44,0.0
Before midnight,Somewhat early,Morning,Some,Rarely,Computer Science,Yes,Very quiet,Prefer personal items,Clean and organized,Study oriented,Total quiet,Calm,Face-to-face,18,45,0.0
Around midnight,Somewhat early,Late night,Significant,Rarely,Computer Science,Yes,Very quiet,Ask before sharing,Neat,Study oriented,Background noise,Blunt,Face-to-face,20,46,0.0
Before midnight,Very early,Morning,Very little,Never,Textile Engineering,Yes,Very quiet,Ask before sharing,Clean and organized,Study oriented,Background noise,Calm,Face-to-face,17,47,
Around midnight,Very early,Evening,Significant,Often,Computer Science,Maybe,Very quiet,Ask before sharing,Cluttered,Study oriented,Total quiet,Calm,Face-to-face,18,48,0.0
Around midnight,Late,Late night,Some,Sometimes,Computer Science,No,Very quiet,Ask before sharing,Cluttered,Social gathering,No preference,Blunt,Face-to-face,18,49,0.0
Before midnight,Very early,Morning,Some,Sometimes,Computer Science,Maybe,Background noise,Ask before sharing,Neat,Social & quiet,No preference,Blunt,Face-to-face,19,50,0.0
After midnight,Somewhat early,Morning,Some,Sometimes,Computer Science,No,Very quiet,Share freely,Clean and organized,Social & quiet,Total quiet,Calm,Face-to-face,19,51,0.0
at any time,Somewhat early,Evening,Significant,Often,Computer Science,No,Background noise,Ask before sharing,Neat,Social & quiet,No preference,Hint jokingly,Face-to-face,18,52,0.0
After midnight,As late as possible,Late night,Some,Frequently,Computer Science,No,High noise tolerance,Ask before sharing,Disorganized,Study oriented,No preference,Blunt,Face-to-face,17,53,
at any time,at any time,Late night,Very little,Often,Computer Science,No,Very quiet,Ask before sharing,Disorganized,Social & quiet,Background noise,Avoid conflict,Face-to-face,20,54,0.0
After midnight,Somewhat early,Afternoon,Some,Rarely,Computer Science,No,Very quiet,Ask before sharing,Neat,Social & quiet,No preference,Hint jokingly,Face-to-face,19,55,0.0
After midnight,Somewhat early,Morning,Some,Frequently,Medicine,Yes,High noise tolerance,Ask before sharing,Clean and organized,Social & quiet,No preference,Blunt,Face-to-face,19,56,1.0
Before midnight,Somewhat early,Morning,Some,Often,Medicine,Yes,Very quiet,Ask before sharing,Cluttered,Study oriented,Total quiet,Avoid conflict,Face-to-face,20,57,1.0
Around midnight,Somewhat early,Evening,Significant,Sometimes,Medicine,Yes,Very quiet,Share freely,Cluttered,Social & quiet,Total quiet,Hint jokingly,Face-to-face,19,58,1.0
Around midnight,Somewhat early,Evening,Some,Sometimes,Computer Science,Yes,Very quiet,Ask before sharing,Neat,Social gathering,Total quiet,Blunt,Face-to-face,20,59,0.0
After midnight,Somewhat early,Evening,Significant,Rarely,Medicine,Yes,Very quiet,Ask before sharing,Clean and organized,Study oriented,Total quiet,Calm,Face-to-face,19,60,1.0
Around midnight,Somewhat early,Evening,Very little,Never,Medicine,Yes,Very quiet,Ask before sharing,Neat,Study oriented,Background noise,Calm,Face-to-face,20,61,1.0
