Id,Gender,Age,daily routine,Living Environment,Cooking at Home,pet owner,Smoking,Sociable,hobbies & activities,communication method,important roommate qualities,study habits,physical exercise
3163,Female,18,Night Owl,Quiet,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Music, Movies/TV, Gaming",In-person,Friendly,collaborative,Rarely (once a month or less)
3164,Female,< 18,Balanced Throughout the Day,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,"Sports, Movies/TV",In-person,Cleanliness,prefer background noise,Rarely (once a month or less)
3165,Female,18,Balanced Throughout the Day,Quiet,Occasionally,no,Non-Smoker,Prefer Privacy,"Sports, Music, Movies/TV",In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3166,Female,18,Early Riser,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,Movies/TV,In-person,Respectful,collaborative,Rarely (once a month or less)
3167,Female,19,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Music, Movies/TV",In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3168,Female,< 18,Balanced Throughout the Day,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV",In-person,Respectful,collaborative,Regularly (1-2 times a week)
3169,Female,< 18,Early Riser,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,Movies/TV,Text,Cleanliness,quiet and focused,Regularly (1-2 times a week)
3170,Female,< 18,Early Riser,Lively,Rarely,no,Non-Smoker,Open to Socializing,"Music, Movies/TV, Outdoor Activities, Gaming",In-person,Friendly,quiet and focused,Very frequently (5 or more times a week)
3171,Female,18,Early Riser,Quiet,Rarely,yes,Non-Smoker,Prefer Privacy,Music,In-person,Cleanliness,collaborative,Frequently (3-4 times a week)
3172,Female,< 18,Balanced Throughout the Day,Quiet,Regularly,yes,Non-Smoker,Open to Socializing,"Reading, Music, Movies/TV, Outdoor Activities",In-person,Respectful,collaborative,Rarely (once a month or less)
3173,Female,< 18,Early Riser,Quiet,Rarely,yes,Non-Smoker,Open to Socializing,"Reading, Sports, Movies/TV, Outdoor Activities, Gaming",In-person,Friendly,collaborative,Occasionally (1-2 times a month)
3174,Female,18,Early Riser,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,Sports,Text,Quiet,quiet and focused,Occasionally (1-2 times a month)
3175,Female,18,Early Riser,Lively,Regularly,no,Non-Smoker,Open to Socializing,"Music, Movies/TV, Outdoor Activities",In-person,Friendly,quiet and focused,Rarely (once a month or less)
3176,Female,< 18,Balanced Throughout the Day,Balanced,Regularly,yes,Non-Smoker,Open to Socializing,"Sports, Music, Movies/TV, Outdoor Activities",Text,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3177,Female,18,Balanced Throughout the Day,Balanced,Occasionally,yes,Non-Smoker,Open to Socializing,Sports,In-person,Cleanliness,quiet and focused,Frequently (3-4 times a week)
3178,Female,< 18,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Friendly,quiet and focused,Rarely (once a month or less)
3179,Female,18,Balanced Throughout the Day,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3180,Female,18,Night Owl,Balanced,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV",Text,Friendly,prefer background noise,Never
3181,Female,< 18,Early Riser,Balanced,Regularly,yes,Non-Smoker,Prefer Privacy,"Reading, Music, Outdoor Activities",In-person,Cleanliness,prefer background noise,Occasionally (1-2 times a month)
3182,Female,< 18,Balanced Throughout the Day,Lively,Rarely,no,Non-Smoker,Open to Socializing,Reading,In-person,Quiet,quiet and focused,Occasionally (1-2 times a month)
3183,Female,18,Night Owl,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Movies/TV, Gaming",In-person,Respectful,collaborative,Never
3184,Female,18,Balanced Throughout the Day,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Gaming",In-person,Respectful,quiet and focused,Rarely (once a month or less)
3185,Female,< 18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,Movies/TV,Text,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3186,Female,< 18,Night Owl,Lively,Occasionally,yes,Non-Smoker,Prefer Privacy,"Music, Outdoor Activities",In-person,Cleanliness,collaborative,Rarely (once a month or less)
3187,Female,< 18,Balanced Throughout the Day,Quiet,Occasionally,no,Non-Smoker,Open to Socializing,Sports,In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3188,Female,< 18,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Music, Movies/TV, Outdoor Activities",In-person,Friendly,quiet and focused,Never
3189,Female,18,Night Owl,Balanced,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV",In-person,Respectful,quiet and focused,Never
3190,Female,< 18,Balanced Throughout the Day,Quiet,Occasionally,no,Non-Smoker,Open to Socializing,"Reading, Music",In-person,Respectful,collaborative,Regularly (1-2 times a week)
3191,Female,18,Balanced Throughout the Day,Balanced,Regularly,no,Non-Smoker,Open to Socializing,Music,In-person,Friendly,quiet and focused,Frequently (3-4 times a week)
3192,Female,18,Early Riser,Quiet,Regularly,no,Non-Smoker,Prefer Privacy,"Reading, Outdoor Activities",In-person,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3193,Female,18,Early Riser,Quiet,Occasionally,no,Non-Smoker,Prefer Privacy,"Reading, Sports",In-person,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3194,Female,18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,Music,In-person,Friendly,collaborative,Rarely (once a month or less)
3195,Female,< 18,Early Riser,Quiet,Occasionally,no,Non-Smoker,Open to Socializing,Music,In-person,Cleanliness,collaborative,Rarely (once a month or less)
3196,Female,< 18,Early Riser,Balanced,Rarely,yes,Non-Smoker,Prefer Privacy,"Reading, Sports, Movies/TV",In-person,Respectful,quiet and focused,Rarely (once a month or less)
3197,Female,< 18,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music",In-person,Respectful,quiet and focused,Rarely (once a month or less)
3198,Female,18,Balanced Throughout the Day,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV, Gaming",In-person,Responsible,quiet and focused,Never
3199,Female,18,Early Riser,Quiet,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Friendly,collaborative,Frequently (3-4 times a week)
3200,Female,< 18,Early Riser,Balanced,Occasionally,no,Non-Smoker,Prefer Privacy,Sports,In-person,Respectful,quiet and focused,Regularly (1-2 times a week)
3201,Female,18,Balanced Throughout the Day,Quiet,Rarely,yes,Non-Smoker,Prefer Privacy,Outdoor Activities,In-person,Respectful,quiet and focused,Rarely (once a month or less)
