Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time,Private_Time_Requirements,Guest_Frequency_Preference,Faculty,Attitude_towards_Roommate_Smoking,Ideal_Study_Environment_Description_encoded,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home_encoded,Desired_Room_Attributes_encoded,Study_Time_Preference,Conflict_Handling_Method_encoded,Communication_Preference_with_Roommate,Age_normalized,id,cluster_label
1.0,1.0,0.0,1.0,0.0,5,0,0,0,0,0,1,2,0,-0.5052159429226737,64,1
1.0,4.0,1.0,1.0,1.0,5,2,2,0,3,0,2,3,0,-0.5052159429226737,65,1
0.0,0.0,0.0,1.0,2.0,5,2,2,1,0,0,2,1,0,0.2786342473088685,66,1
3.0,0.0,0.0,1.0,0.0,1,2,0,0,3,0,1,3,0,-0.5052159429226737,69,0
0.0,3.0,1.0,2.0,1.0,5,2,2,0,3,0,2,1,0,-0.5052159429226737,71,1
1.0,1.0,0.0,1.0,2.0,1,2,2,0,0,0,1,1,0,0.2786342473088685,72,0
3.0,3.0,2.0,1.0,2.0,1,2,2,1,3,0,0,3,0,0.2786342473088685,73,0
1.0,1.0,3.0,1.0,2.0,5,2,2,0,0,2,1,2,0,-0.5052159429226737,74,1
3.0,3.0,2.0,1.0,2.0,1,1,0,0,3,0,2,3,0,-0.5052159429226737,75,0
2.0,2.0,3.0,1.0,2.0,1,1,0,0,3,0,0,1,2,1.0624844375404108,76,0
2.0,2.0,2.0,2.0,2.0,1,1,1,0,0,2,1,1,0,0.2786342473088685,77,0
3.0,1.0,1.0,1.0,2.0,5,2,2,0,3,2,0,3,0,0.2786342473088685,78,1
2.0,1.0,3.0,1.0,2.0,5,2,2,0,3,2,1,3,0,-1.289066133154216,79,1
1.0,1.0,3.0,1.0,2.0,5,1,2,0,3,2,1,1,0,-0.5052159429226737,80,1
1.0,1.0,2.0,1.0,1.0,5,2,2,0,3,0,2,0,0,0.2786342473088685,82,1
3.0,2.0,2.0,1.0,4.0,1,2,2,0,3,2,0,1,2,-0.5052159429226737,83,0
2.0,2.0,3.0,2.0,2.0,1,2,2,1,3,0,2,2,0,-0.5052159429226737,84,0
1.0,1.0,0.0,1.0,2.0,2,2,2,0,0,0,2,1,0,1.0624844375404108,85,0
2.0,1.0,2.0,1.0,1.0,2,2,2,0,3,2,2,1,0,0.2786342473088685,86,0
1.0,1.0,0.0,1.0,0.0,1,2,2,0,3,2,1,0,0,-0.5052159429226737,87,0
1.0,1.0,0.0,0.0,2.0,2,2,0,2,2,0,0,0,0,1.0624844375404108,88,0
3.0,1.0,2.0,1.0,2.0,1,1,2,0,3,0,1,2,0,0.2786342473088685,89,0
2.0,2.0,3.0,1.0,3.0,2,2,2,2,0,0,2,0,2,0.2786342473088685,90,0
0.0,1.0,2.0,2.0,2.0,1,0,2,0,3,2,2,2,0,0.2786342473088685,91,0
0.0,0.0,0.0,1.0,4.0,1,2,2,0,3,2,2,1,0,1.0624844375404108,92,0
3.0,3.0,2.0,1.0,2.0,1,1,2,0,3,1,0,2,0,-0.5052159429226737,93,0
2.0,2.0,0.0,2.0,1.0,1,2,0,0,3,0,2,1,0,-0.5052159429226737,94,0
2.0,2.0,2.0,1.0,1.0,1,0,0,0,0,0,2,3,0,-0.5052159429226737,95,0
2.0,2.0,2.0,1.0,2.0,2,2,2,0,3,0,2,3,2,1.0624844375404108,96,0
0.0,0.0,3.0,2.0,1.0,0,2,2,0,3,2,2,3,1,-0.5052159429226737,97,0
0.0,0.0,2.0,2.0,2.0,0,0,2,0,3,2,2,0,0,0.2786342473088685,98,0
0.0,0.0,0.0,1.0,2.0,3,0,2,0,3,2,2,1,0,-1.289066133154216,102,0
2.0,2.0,3.0,1.0,2.0,2,2,2,0,1,0,2,0,2,1.0624844375404108,103,0
0.0,0.0,0.0,1.0,2.0,1,2,2,0,0,2,2,2,0,0.2786342473088685,104,0
0.0,1.0,0.0,1.0,2.0,1,0,2,0,3,0,2,3,0,-0.5052159429226737,105,0
1.0,3.0,3.0,1.0,4.0,2,2,2,0,3,0,1,3,0,0.2786342473088685,106,0
3.0,2.0,2.0,1.0,1.0,2,0,0,2,3,0,2,3,0,1.0624844375404108,107,0
3.0,1.0,0.0,1.0,1.0,1,2,2,0,0,0,2,3,0,-0.5052159429226737,108,0
3.0,3.0,1.0,2.0,2.0,1,2,0,0,3,0,2,0,2,1.0624844375404108,110,0
0.0,1.0,0.0,1.0,0.0,1,2,2,1,3,2,2,3,2,-0.5052159429226737,111,0
1.0,4.0,0.0,1.0,2.0,5,2,2,0,0,0,2,0,0,1.0624844375404108,113,1
